차가,82,149
사아,87,144
카파,89,152
다라,51,151
바가,84,165
사라,96,146
타차,82,150
하차,45,176
카아,42,168
타파,76,193
차하,54,180
카라,50,157
라카,77,168
아마,88,179
파차,66,168
바사,80,199
자아,74,169
자차,63,197
카타,57,190
아라,51,173
라카,64,190
타사,44,154
다차,80,179
아파,87,157
사라,80,174
바차,46,193
차자,84,149
다하,91,149
차라,77,151
나카,47,154
바카,45,172
사라,58,191
파차,44,188
카다,68,172
라카,41,184
다타,52,140
가사,92,177
나차,54,153
사가,85,192
자사,66,174
가하,45,154
자바,56,157
파아,91,194
바나,75,191
가하,77,188
다라,59,198
바카,90,166
아다,99,154
마파,61,177
가차,78,167
마카,91,161
차나,76,183
하자,77,174
파타,46,171
바자,57,167
바하,61,151
파아,63,177
라라,88,176
라차,88,187
아라,45,155
가바,42,169
가나,89,160
파타,50,162
사카,77,168
마다,42,198
아가,61,195
가타,83,172
라차,87,162
바가,84,171
마파,43,147
바라,86,172
사차,93,149
가마,57,165
라사,90,169
나카,97,165
가사,97,171
바가,82,198
마카,96,163
차하,80,152
나차,78,178
파하,86,176
하파,77,198
하차,40,170
하카,96,192
아나,94,189
라사,70,147
타하,89,141
가타,59,159
파라,45,182
하사,42,141
자타,73,181
사하,67,166
자카,43,182
사사,83,159
바파,89,196
라사,61,191
사차,60,160
가마,92,164
하마,54,190
사마,49,143
사하,54,192
하다,93,158
카가,76,179
아가,98,159
나가,95,156
타사,99,148
바차,53,172
파차,57,198
라나,94,177
카라,91,173
파라,52,174
카나,96,142
바가,71,157
차마,48,170
바사,48,166
사아,81,189
하하,94,165
파타,51,175
마가,43,186
자아,77,186
바타,40,155
바파,78,176
자나,59,148
바카,56,174
타마,46,178
자가,87,180
다자,58,162
자파,40,174
자마,52,190
나마,44,148
나바,47,153
타라,95,175
자자,72,177
라바,83,172
차나,82,182
나라,79,177
차카,65,152
아아,73,170
아하,70,149
사하,64,191
마차,41,146
아자,54,149
가자,85,189
나가,75,193
라자,82,184
카타,52,156
나타,94,143
마나,90,170
나자,74,156
가가,68,175
라차,76,178
자아,73,197
마나,80,199
가하,84,159
바아,87,156
라라,46,161
하타,55,147
라나,61,167
카파,58,188
다자,67,147
사차,43,192
차다,65,183
타파,87,182
가다,54,146
사파,95,190
타사,49,195
나파,59,190
다마,92,183
라파,75,164
라파,86,194
사사,51,156
자파,58,185
나타,79,151
하마,66,154
카타,94,178
파바,71,165
라사,72,178
타타,40,172
바다,58,140
라마,60,177
나나,43,156
마사,50,193
아가,86,196
아자,72,144
라카,49,170
자가,67,189
파타,73,144
카마,92,187
다마,40,182
타파,61,168
사카,56,194
나자,79,158
나타,51,196
카파,93,189
파자,73,149
카차,76,171
가나,44,187
마사,67,163
카라,82,190
아마,68,164
타하,79,155
사아,82,178
가라,87,161
자차,42,140
다나,64,174
나차,80,180
라가,95,148
바라,91,153
다차,83,189
아자,45,195
하마,46,152
사사,88,150
카아,72,194
바아,99,145
카바,43,155
바파,93,181
마파,78,145
다차,88,153
아파,97,195
마나,65,194
아자,94,171
카바,89,155
바하,48,149
하라,75,187
라바,63,167
나하,95,158
가바,93,185
바라,42,169
라차,85,148
아하,67,156
가카,42,142
자파,59,172
타자,77,149
가라,88,173
차바,81,190
파가,92,157
라마,74,195
자다,82,172
가마,60,196
가타,88,187
사타,82,177
차바,87,167
자다,60,187
하마,86,146
가가,97,187
사가,49,170
나차,92,161
라자,49,151
차사,76,174
나자,72,162
나하,42,143
라파,96,199
라차,92,197
타하,96,153
마다,82,194
라아,51,198
마나,59,198
차다,68,167
마가,48,188
라카,47,189
차라,83,174
자파,89,144
자카,71,140
타나,87,172
파바,51,198
파사,54,147
타마,60,170
다바,77,171
다마,83,199
바바,55,195
가다,43,188
가파,92,147
하라,67,143
자카,68,147
카아,56,148
자라,62,195
카마,70,169
아자,62,148
차타,43,152
사카,48,165
카나,57,146
사가,42,150
카차,96,181
다사,99,198
하아,93,164
바다,87,166
가가,50,173
차사,48,174
마나,66,195
마라,95,140
가자,86,174
라바,61,174
가다,65,198
나하,51,142
가마,60,183
아다,60,180
사카,66,185
나카,44,158
아자,64,191
차자,87,196
마나,61,163
자아,60,157
마아,89,163
카하,64,151
하마,88,196
바바,87,149
라바,57,150
하차,93,190
바라,40,176
하자,91,151
라하,68,199
아자,75,148
나타,63,178
자가,79,160
파아,78,140
바자,73,188
라하,93,158
바자,86,143
다마,40,160
나사,78,196
타마,42,161
하나,55,162
바타,95,170
가파,98,158
바사,53,197
바차,99,144
파나,94,185
타자,90,171
카타,50,156
타다,78,143
마사,70,195
카자,55,148
라자,56,147
차다,53,142
다다,65,198
카나,64,192
아차,63,169
자자,86,145
라가,79,184
라라,83,164
하마,48,149
다나,43,149
카차,99,146
바라,97,161
자다,97,152
나사,99,142
아라,83,190
사차,61,190
카타,70,148
마사,41,170
하가,40,190
나하,44,193
나자,80,173
하나,54,147
마가,91,179
나라,74,147
라아,95,173
차차,62,174
마사,91,196
바자,91,144
차파,85,193
자사,65,182
라아,65,152
사라,65,167
차파,90,179
자바,61,144
타라,44,189
마나,98,146
마자,52,173
바나,48,144
자다,77,181
타가,40,164
타차,60,194
자가,97,165
가라,61,158
파다,78,192
아타,48,160
나파,44,146
가차,94,152
차사,52,158
타타,51,178
바나,48,195
타카,45,199
카바,94,144
하아,60,166
파아,65,199
하카,41,166
마나,77,182
나사,83,164
사마,48,183
라차,95,177
차차,82,140
다사,51,188
마자,78,162
파바,85,180
타타,67,153
나파,87,140
나마,50,184
라타,90,175
아파,94,183
하자,68,165
타카,41,159
다타,45,198
라사,67,192
라나,63,182
가다,82,168
타사,49,187
사자,99,174
다카,87,181
마나,72,154
카마,90,191
마나,48,164
바타,52,142
가아,41,184
파타,65,172
라카,56,162
바카,87,181
바타,41,155
사하,82,191
파마,97,161
라자,76,154
사바,43,199
마가,65,186
카다,86,192
차나,80,159
마카,91,198
다가,72,183
사사,60,158
나하,56,161
사파,40,166
마사,93,182
바바,48,191
자나,50,146
라카,78,148
타타,70,171
다하,63,164
아자,45,160
다차,51,197
바바,79,167
아사,91,189
다라,52,140
카나,65,189
바차,40,148
아마,71,174
타다,53,162
카가,78,184
다차,91,168
사파,75,160
파파,87,143
다가,82,166
파나,54,142
자차,68,188
바하,68,184
파하,50,169
다마,42,195
파바,94,167
하타,81,184
차다,77,194
다다,75,181
하바,42,155
나나,64,142
파타,73,162
나마,47,183
마바,84,162
나사,69,171
사바,64,149
자나,68,197
바나,85,171
카파,60,171
마차,54,167
나타,42,158
카가,46,161
파카,98,149
바자,67,155
라아,62,154
하자,46,160
카바,68,160
가타,50,195
파파,95,162
타가,73,154
라파,53,166
마차,44,152
다카,43,195
파라,97,194
사차,59,183
마차,54,147
나자,59,160
하자,85,153
차바,94,166
하바,61,166
차아,93,196
다타,73,180
차나,66,172
마하,51,157
카자,42,190
라카,76,150
다다,74,160
사차,58,157
라카,53,167
나나,99,168
사라,84,188
카마,42,194
파사,67,142
하다,98,190
라카,57,141
바마,58,193
아바,97,163
다사,54,192
다다,98,198
아사,84,149
사차,77,195
나라,88,145
차차,65,152
하사,48,179
사아,73,178
차아,66,146
자차,42,181
라카,70,170
카바,41,159
하바,64,141
다다,58,187
자타,68,194
마마,73,192
바타,74,148
카자,88,160
바아,59,199
가아,81,197
파차,69,197
사아,92,174
하파,57,170
라차,63,160
나파,59,183
파카,43,166
파가,41,179
타차,58,185
자사,93,154
하라,61,172
마파,93,197
다나,55,159
마파,69,166
다라,42,184
다가,91,181
나하,51,154
자차,73,145
다가,61,167
라하,52,144
나다,72,193
나다,45,142
라하,75,153
라사,67,143
가파,43,158
다자,86,178
사다,71,183
라나,78,168
하가,90,158
하카,53,167
카파,45,191
카타,76,199
자아,55,158
나사,78,190
카파,85,170
가차,86,148
카카,88,189
마카,67,173
파마,71,158
바마,88,174
마가,69,191
아타,54,145
가사,51,191
하자,81,159
마마,84,148
카바,56,142
타마,97,148
바자,65,161
나파,90,143
자아,74,168
하파,81,153
타아,71,165
바나,66,168
나하,78,140
가하,88,148
라마,54,154
파아,58,161
카나,74,180
자다,60,152
자나,87,182
가자,65,154
타마,54,177
사아,76,168
차자,73,150
다파,74,157
가아,55,181
자다,65,163
차다,67,181
라사,84,169
다타,50,158
아하,87,170
나카,44,140
차마,64,180
하사,86,179
하나,47,160
마나,79,182
파자,66,173
라아,93,192
사파,96,177
라아,54,141
바사,96,170
마차,64,187
파차,45,166
마자,84,154
파타,78,181
사파,78,150
가하,87,188
하가,98,159
자차,48,152
타다,96,145
카파,76,159
라다,90,169
자나,87,151
가카,49,182
카아,41,150
자마,57,146
가바,88,176
차자,72,192
하라,85,181
라나,88,140
바자,43,144
카다,95,199
라카,60,187
카자,52,197
라라,48,178
사타,81,140
파카,60,192
타마,43,199
다차,99,146
카자,62,182
아카,60,165
카하,67,179
사파,79,187
타다,42,192
마나,91,193
차사,98,141
사다,65,191
바나,53,149
자하,87,178
가차,69,171
아자,87,182
아바,78,185
라라,91,140
라나,95,170
바가,77,190
마차,69,149
파바,71,188
타나,97,140
파다,84,192
사사,40,142
라라,40,191
카사,48,185
하자,88,194
라카,52,162
나하,57,143
다아,90,191
다카,97,184
사타,98,166
바라,52,189
바파,56,193
아하,59,175
가다,58,197
자사,77,198
타파,84,164
마바,82,155
다다,67,167
아사,63,167
가자,68,176
카파,64,191
가차,71,171
가마,98,195
카나,72,173
카라,55,175
카라,96,144
아바,87,152
바하,96,176
사파,97,175
바타,48,178
차가,47,178
타다,86,192
파하,82,174
사아,61,170
타나,91,194
하하,68,156
라차,40,157
바아,81,181
타바,72,157
바카,73,191
라차,60,171
마아,88,165
타파,99,141
타바,49,140
하가,59,166
바바,48,188
파아,96,194
마타,67,193
하카,80,159
파마,93,153
라파,44,188
나바,99,175
마카,68,198
마다,40,163
하하,97,175
마가,87,194
차타,89,169
하사,88,177
사가,48,180
다가,64,178
아라,93,181
차나,56,150
하나,71,143
다사,45,196
파타,97,196
다다,74,146
다나,57,140
자카,78,160
바라,62,197
타타,68,161
마파,60,158
다마,41,164
아카,92,179
파바,78,176
마다,78,166
카카,87,166
아가,52,145
사다,93,177
아아,41,187
아카,48,159
가차,83,194
나타,65,183
바카,84,151
카차,57,189
사하,84,155
사바,58,186
파가,47,170
파카,93,168
하다,50,160
하가,88,160
파마,43,145
자가,96,166
타라,47,186
바라,52,153
나타,71,144
마자,94,163
타라,96,142
다타,71,140
바아,52,151
자바,49,191
카가,91,171
바바,47,166
타파,53,157
다가,74,167
라다,95,163
마아,56,183
라하,66,167
아아,94,183
차다,68,147
아타,97,172
가가,91,159
아마,68,142
나사,76,153
카사,97,187
사타,65,175
가파,47,173
마파,61,151
아타,90,153
카파,48,150
라자,79,149
카카,52,170
자바,61,153
차타,59,140
가사,45,181
나차,98,155
나차,67,190
타타,41,166
마자,90,165
마사,80,157
다자,66,183
바다,56,195
다라,66,161
카자,73,193
자마,51,193
타파,53,153
나나,52,182
아카,59,173
타라,40,194
라다,89,151
다다,61,154
마라,52,199
다하,41,174
카마,83,179
나가,45,188
타타,87,176
다바,48,153
차차,66,195
카라,89,163
차아,80,173
차자,88,170
타차,54,157
자라,67,148
타라,93,166
자마,70,161
차바,77,157
파사,41,144
타다,97,195
타아,53,181
나사,84,172
자파,53,182
차나,77,152
차하,84,157
차타,64,187
아카,67,150
나하,46,176
타자,75,143
아자,52,195
나차,55,185
마사,55,195
마사,58,189
다자,97,182
가타,81,194
바타,65,164
사카,82,187
파나,70,192
가다,77,161
사다,92,156
다하,51,162
파가,43,168
마마,84,144
차하,84,171
아자,88,176
타나,45,183
타마,53,158
자라,59,151
나다,83,170
가나,96,163
마라,72,192
하바,54,185
바파,87,140
라하,88,164
하파,91,181
하파,42,157
파바,46,147
나마,45,156
나타,48,196
자다,75,157
나바,68,147
가마,45,192
타마,51,178
타자,96,184
